"Default welcome msg!","Ciao!"
"Search entire store here...","Cerca..."
"Welcome, %1!","%1"
"Write Us","Scrivici un Messaggio"
"Jot us a note and we’ll get back to you as quickly as possible.","Questa pagina è dedicata alle tue comunicazioni. Se vuoi richiedere informazioni, fare proposte e segnalazioni, o semplicemente esprimere le tue opinioni, puoi compilare questo form."
"Confirm Email","Ripeti Email"
"Phone Number","Telefono"
"What’s on your mind?","Messaggio"
"Please enter a valid email address (Ex: johndoe@domain.com).","Inserisci un indirizzo email valido (Es. mariorossi@dominio.it)."
"Please enter a valid email address.","Inserisci un indirizzo email valido."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Grazie per averci contattato. Risponderemo al più presto."
"Sitemap","Mappa Sito"
"Orders and Returns","Ordini e Resi"
"Order Information","Informazioni Ordine"
"Order ID","Numero Ordine"
"Billing Last Name","Cognome Fatturazione"
"Find Order By","Trova Ordine Per"
"Advanced Search","Ricerca Avanzata"
"Catalog Advanced Search","Ricerca Avanzata"
"Search Settings","Impostazioni Ricerca"
"Product Name","Nome Articolo"
"SKU","Codice Articolo"
"Short Description","Descrizione"
"Enter a search term and try again.","Inserisci almeno un parametro di ricerca e riprova."
"We can't find any items matching these search criteria.","Non sono stati trovati articoli corrispondenti ai seguenti criteri di ricerca."
"Create New Customer Account","Registrati"
"Personal Information","Informazioni Personali"
"Sign Up for Newsletter","Iscrizione Newsletter"
"Address Information","Informazioni Indirizzo"
"Fax","Cellulare"
"State/Province","Provincia"
"Please select a region, state or province.","Seleziona la provincia."
"Sign-in Information","Informazioni Accesso"
"Confirm Password","Ripeti Password"
"Additional Settings","Informazioni Fiscali"
"Create an Account","Registrati"
"Registered Customers","Clienti Registrati"
"Customer Login","Accedi"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Registrare un account ha molti vantaggi: puoi acquistare più velocemente, salvare diversi indirizzi, monitorare gli ordini e molto altro ancora."
"If you have an account, sign in with your email address.","Se hai già registrato un account, accedi con le tue credenziali."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Le credenziali inserite non sono corrette oppure il tuo account è stato temporaneamente disabilitato. Riprova più tardi."
"Password Strength","Sicurezza Password"
"Search Terms","Termini di Ricerca"
"Privacy and Cookie Policy","Privacy e Cookie"
"Delivery Date","Data Consegna"
"Delivery Time Interval","Orario Consegna"
"Delivery Comment","Note Consegna"
"Make Check payable to:","Intesta l'assegno a:"
"My Account","Area Personale"
"My Orders","Ordini Effettuati"
"My Downloadable Products","Prodotti Scaricabili"
"My Wish List","Lista Desideri"
"Address Book","Rubrica Indirizzi"
"Account Information","Modifica Profilo"
"Stored Payment Methods","Metodi Pagamento"
"Billing Agreements","Accordi Fatturazione"
"Change Email","Cambia Email"
"Change Email and Password","Cambia Email e Password"
